"taille";"service";"regions";"nombre";"correlation_sp_pop_evo_90_09";"correlation_sp_pop_evo_99_09"
22,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";141;0,285565694997995;0,250358146018973
25;"bureaux de poste";"Grand Est";114;-0,105221200897667;-0,234561873572594
25;"bureaux de poste";"Nouvelle Aquitaine";166;0,144416857510954;0,0669365937600838
25;"bureaux de poste";"Occitanie";138;0,0970034753555108;0,0803264179440435
25;"bureaux de poste";"Auvergne-Rhône-Alpes";131;-0,018892591375645;-0,044784701589684
25;"collèges et lycées publics";"Grand Est";112;0,564600197741705;0,525600776393617
25;"collèges et lycées publics";"Nouvelle Aquitaine";151;0,451610796464042;0,543667245289895
25;"collèges et lycées publics";"Occitanie";116;0,347731459772914;0,26918799075667
25;"collèges et lycées publics";"Auvergne-Rhône-Alpes";117;0,411297843694997;0,366430987895746
27,5;"bureaux de poste";"Grand Est";101;-0,21574942417489;-0,209997028901266
27,5;"bureaux de poste";"Nouvelle Aquitaine";149;-0,088267399294773;-0,0934614036139404
27,5;"bureaux de poste";"Occitanie";122;0,134730583056765;0,136003583059786
27,5;"bureaux de poste";"Auvergne-Rhône-Alpes";116;0,0906477058551193;0,0806654307985276
27,5;"collèges et lycées publics";"Grand Est";101;0,379160189730132;0,343887791443643
27,5;"collèges et lycées publics";"Nouvelle Aquitaine";127;0,40847101893053;0,501246931346188
27,5;"collèges et lycées publics";"Occitanie";109;0,479661478028408;0,407134689115897
27,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";107;0,509543674808234;0,475636622638567
30;"bureaux de poste";"Grand Est";86;-0,0333116778988744;-0,144517711979728
30;"bureaux de poste";"Nouvelle Aquitaine";126;0,0183387673211005;0,0105194295244483
30;"bureaux de poste";"Occitanie";103;0,260604667497214;0,220425343503576
30;"bureaux de poste";"Auvergne-Rhône-Alpes";99;0,0849729161051251;0,124359326501569
30;"collèges et lycées publics";"Grand Est";83;0,674370107457587;0,688069885133433
30;"collèges et lycées publics";"Nouvelle Aquitaine";116;0,372033144470051;0,313365829520551
30;"collèges et lycées publics";"Occitanie";96;0,536620187145469;0,490914286297425
30;"collèges et lycées publics";"Auvergne-Rhône-Alpes";88;0,435723246749846;0,422138112991111
32,5;"bureaux de poste";"Grand Est";73;0,199787400472179;0,19257864918151
32,5;"bureaux de poste";"Nouvelle Aquitaine";108;-0,0352437619833568;-0,0695904318813138
32,5;"bureaux de poste";"Occitanie";92;0,154305926766137;0,137131940031724
32,5;"bureaux de poste";"Auvergne-Rhône-Alpes";85;0,243690417768308;0,237089579679176
32,5;"collèges et lycées publics";"Grand Est";71;0,491034081878042;0,456340020381892
32,5;"collèges et lycées publics";"Nouvelle Aquitaine";98;0,537000867384943;0,63350148233551
32,5;"collèges et lycées publics";"Occitanie";86;0,585426385324265;0,408684803992819
32,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";77;0,54486861562676;0,529504963371283
35;"bureaux de poste";"Grand Est";68;0,184123321312283;0,190035545092789
35;"bureaux de poste";"Nouvelle Aquitaine";96;-0,149360570264448;-0,143504535991944
35;"bureaux de poste";"Occitanie";81;0,264051321412477;0,313239408867736
35;"bureaux de poste";"Auvergne-Rhône-Alpes";77;0,0674491984972209;0,0553808730208309
35;"collèges et lycées publics";"Grand Est";69;0,639158677308232;0,608262399381064
35;"collèges et lycées publics";"Nouvelle Aquitaine";88;0,334157892453693;0,292631827691287
35;"collèges et lycées publics";"Occitanie";81;0,50099646471716;0,528182608109627
35;"collèges et lycées publics";"Auvergne-Rhône-Alpes";74;0,381891964814304;0,27921768165198
37,5;"bureaux de poste";"Grand Est";56;0,21329758012564;0,289522240018545
